ru	Основной 😀
🍽️ Ресторан	музыкант 🎵, посетитель 👤, вышибала 💂‍♂️, метрдотель 🎩, шеф-повар 👨‍🍳, официант 🍽️, критик 👩‍⚖️
💆‍♀️ Спа-салон	клиент 👤, стилист 💇‍♀️, массажист 💆‍♀️, визажист 💄, маникюрщик 💅, косметолог 💆, дерматолог 🩺
🏨 Отель	бармен 🍸, постоялец 👤, горничная 🛎️, швейцар 🎩, охранник 💂‍♂️, управляющий 💼, портье 🚪
🎓 Университет	студент 👨‍🎓, вахтёр 👷‍♂️, ректор 👨‍💼, профессор 👨‍🏫, аспирант 🎓, психолог 🧑‍🔬, декан 👨‍⚖️
🏦 Банк	клиент 👤, охранник 💂‍♂️, грабитель 👥, кассир 💰, управляющий 💼, инкассатор 🚚, консультант 🤝
🏥 Больница	терапевт 🩺, хирург 🏥, медсестра 👩‍⚕️, пациент 👤, патологоанатом 🧪, главврач 👨‍⚕️, интерн 👨‍⚕️
🏛️ Посольство	дипломат 🤵, посол 🌍, чиновник 🕴️, секретарь 💼, охранник 💂‍♂️, турист 🧳, беженец 🏃‍♂️
🎬 Киностудия	звукооператор 🎤, каскадёр 🤸‍♂️, оператор 🎥, костюмер 👗, режиссёр 🎬, актёр 🎭, статист 🙋‍♂️
🎪 Цирк-шапито	дрессировщик 🎪, посетитель 👤, фокусник 🎩, жонглёр 🤹‍♂️, клоун 🤡, метатель ножей 🗡️, акробат 🤸‍♀️
🎭 Театр	гардеробщик 👘, суфлёр 🗣️, билетёр 🎫, зритель 👥, режиссёр 🎬, актёр 🎭, рабочий сцены 🛠️
⛪ Церковь	священник ⛪, грешник 😈, хорист 🎤, прихожанин 🙏, нищий 🚮, турист 🧳, меценат 💰
🥦 Овощебаза	санинспектор 🛷, охранник 💂‍♂️, грузчик 📦, бухгалтер 📊, бригадир 👨‍🏭, лаборант 🧪, водитель 🚚
🛒 Супермаркет	мерчендайзер 🛍️, охранник 💂‍♂️, промоутер 📣, кассир 💰, мясник 🥩, уборщик 🧹, покупатель 👤
🚓 Полицейский участок	журналист 🗞️, детектив 🕵️‍♂️, адвокат 🧑‍⚖️, криминалист 🔍, архивариус 🗃️, патрульный 🚔, преступник 👥
🎉 Корпоративная вечеринка	менеджер 💼, ведущий 🎤, незваный гость 👥, шеф 👨‍🍳, секретарь 💼, бухгалтер 📊, курьер 🚚
🛳️ Океанский лайнер	богатый пассажир 💰, стюард ✈️, капитан ⚓, бармен 🍸, музыкант 🎵, кок 🧑‍🍳, радист 📻
🚤 Подводная лодка	электромеханик 🔧, матрос ⚓, командир ⚓, штурман 🧭, гидроакустик 🎛️, кок 🧑‍🍳, радист 📻
🔧 Станция техобслуживания	мастер-приёмщик 🛠️, шиномонтажник 🚗, мойщик 🧽, мотоциклист 🏍️, электрик ⚡, директор 💼, автомобилист 🚗
🏔️ Полярная станция	начальник экспедиции 🌍, геофизик 🌋, биолог 🌿, метеоролог 🌦️, медик 🩺, гидролог 🌊, радист 📻
🏖️ Пляж	фотограф с обезьянкой 🐒, аниматор 🤡, отдыхающий 🧘‍♂️, парапланерист 🪂, разносчик еды 🚲, спасатель 🚑, вор 👥
🏰 Воинская часть	продавец в магазине 🛍️, младший офицер 🎖️, врач 🩺, караульный 🎖️, рядовой 👥, полковник 🎖️, дезертир 👥
⚔️ Войско крестоносцев	плененный сарацин 👳, слуга 🧹, епископ ⛪, лучник 🏹, монах 👤, оруженосец ⚔️, рыцарь 🤺
🚂 Пассажирский поезд	разносчик товаров 📦, повар вагоне-ресторана 👨‍🍳, пассажир 👤, пограничник 👮‍♂️, проводник 👮‍♀️, машинист 🚂, кочегар 🔥
🏫 Школа	классный руководитель 👩‍🏫, охранник 💂‍♂️, физрук 🏋️‍♂️, школьник 👦, директор 👩‍💼, уборщик 🧹, завуч 👩‍🏫
💣 База террористов	мальчик на побегушках 👦, глава ячейки 👥, боевик 👥, смертник 💣, медик 🚑, новобранец 👥, пастух 🐑
🔫 Партизанский отряд	пленный полицай 👮‍♂️, разведчик 🕵️‍♂️, партизан 👥, радист 📻, медик 🩺, солдат 🎖️, повар 👨‍🍳
🎰 Казино	азартный посетитель 🎰, начальник охраны 💂‍♂️, вышибала 💪, шулер 🎴, бармен 🍹, администратор 💼, крупье 🃏
🏴‍☠️ Пиратский корабль	связанный пленник 👥, канонир 💣, матрос ⚓, юнга 👦, капитан ⚓, кок 🧑‍🍳, раб 👥
🛰️ Орбитальная станция	космический турист 🚀, инженер-исследователь 👩‍🔬, инженер-исслед. 👨‍🔬, врач 🩺, пилот ✈️, командир 🚀, инопланетянин 👽
✈️ Самолёт	командир экипажа ✈️, пассажир бизнес-класса 👤, эконом-класса 👤, стюард ✈️, второй пилот ✈️, бортинженер ✈️, безбилетник 👥
