ru: Кино
Крестный отец: Вито Корлеоне, Майкл Корлеоне, Сонни Корлеоне, Фредо Корлеоне, Том Хагген, Кайо Мессия, Конни Корлеоне
Побег из Шоушенка: Энди Дюфрейн, Эллис Бойд 'Рэд' Реддинг, Сэмюэль Нортон, Брюкс Хэтленд, Томми Уильямс, Богс Даймонд, Джек Блоу
Темный рыцарь: Брюс Уэйн / Бэтмен, Джокер, Харви Дент / Двуликий, Альфред Пенниуорт, Джеймс Гордон, Рэйчел Доусон, Люсиус Фокс
Бойцовский клуб: Неизвестный намеренный, Тайлер Дерден, Марла Сингер, Роберт 'Боб' Полсон, Альберт, Рэймонд Кесслер, Ричард Райт
Матрица: Нео / Томас Андерсон, Морфеус, Тринити, Смит, Киану Ривз, Кибердвигатель, Кидо
Форрест Гамп: Форрест Гамп, Дженни Кёртис, Лейтенант Дэн Тейлор, Бубба Блю, Мама Гамп, Директор Уоллас, Сьюзан
Начало: Доминик 'Дом' Кобб, Артур, Ариадна, Мал, Эймс, Йусуф, Саито
Криминальное чтиво: Винсент Вега, Джулс Винфилд, Марселлас Уоллес, Бутч Кулидж, Миа Уоллес, Капитан Куинтин Марселлс, Уинстон Вулф
Мстители: Железный человек / Тони Старк, Капитан Америка / Стив Роджерс, Тор, Халк / Брюс Бэннер, Черная Вдова / Наташа Романофф, Хоукай / Клинт Бартон, Ник Фьюри
Властелин колец: Фродо Бэггинс, Гэндальф, Арагорн, Леголас, Гимли, Бильбо Бэггинс, Галадриэль
Звездные войны: Люк Скайуокер, Принцесса Лея, Дарт Вейдер, Оби-Ван Кеноби, Хан Соло, Император Палпатин, Йода
Славные парни: Генри Хилл, Джеймс Конуэй, Томми ДеВито, Карен Хилл, Пол Чико, Билли Батс, Джимми Конуэй
Отступники: Билли Костиган, Колин Салливан, Джеймс 'Джимми' Диган, Капитан Куинс, Эллисон, Фитцгеральд, Мэдолин, Диган
Король Лев: Симба, Муфаса, Скар, Нала, Тимон, Пумба, Рафики
Молчание ягнят: Кларисса Старлинг, Доктор Ханнибал Лектер, Джек Кроуфорд, Буффало Билл, Фредрик Чилтон, Арделиа Мапс, Кэтрин Мартин
Зеленая миля: Пол Эджкомб, Джон Коффи, Уильям Уилл 'Билли' Уолтон, Перси Уитмор, Эдуард Делакруа, Мелинда Мульвихилл, Том Хайес
Обычные подозреваемые: Вербаль Кинт / Кайзер Созе, Дин Кинт, Майк Макмэнус, Тодд Хоксли, Фред Фенстер, Кобэйт, Дэйв Куйон
Список Шиндлера: Оскар Шиндлер, Амон Гёт, Ицхак Штерн, Ицхак Штерн, Герда Вайсман, Хелена Штахл, Пол Риндел
